Screen,Slug
Language,language
login,email
login,password
login,show_password
login,hide_password
login,login
login,signup
login,info_text
login,not_registered_text
login,forgot_passowrd_text
login,went_wrong_text
login,login_text
login,signup_text
login,enter_email_text
signup,email
signup,code
signup,mobile
signup,firstname
signup,lastname
signup,password
signup,termsandcondition
signup,clear
signup,signup
signup,backtologin
forgot,email
forgot,forgot
cmrdashboard,deals
cmrdashboard,eventer
cmrdashboard,hanging
cmrdashboard,mynet
cmrdashboard,nter
cmrdashboard,payment
cmrdashboard,report
cmrdashboard,schedule
floatingbutton,addinhouse
floatingbutton,addevent
floatingbutton,addtask
floatingbutton,addondemand
floatingbutton,addwalkin
bspfloatingbutton,addbranch
bspfloatingbutton,addemployee
bspfloatingbutton,addinvoice
bspfloatingbutton,addfollowup
maindrawer,bsp_dashboard
maindrawer,cmr_dashboard
maindrawer,setting
maindrawer,BusinessServiceProvider
maindrawer,switchtobsp
maindrawer,Notification
maindrawer,TUDO
maindrawer,termsandcondition
maindrawer,contactus
maindrawer,signout
maindrawer,tryagain_txt
maindrawer,coming_soon_txt
addemployee,branch
addemployee,dob
addemployee,roleofmployee
addemployee,rolename
addemployee,vehicleid
addemployee,service
addemployee,employeetype
addemployee,workshift
addemployee,payscale
addemployee,annulabsencehours
addemployee,select_service_error
addbranch,legalbusinessname
addbranch,branchphone
addbranch,licenseno
addbranch,establishedyear
addbranch,expirydate
addbranch,profilepicture
addbranch,licensepicture
bspSignup,legalbusinessname
bspSignup,alternatephone
bspSignup,establishedyear
bspSignup,numberofemployees
bspSignup,businesslegaladdress
bspSignup,legalbusinesscheck
bspSignup,errortext
bspSignup,title_business
bspSignup,title_branch
bspSignup,update
bspSignup,next
bspSignup,branch_legal_name
bspSignup,code
bspSignup,branch_phone_number
bspSignup,branch_established_year
bspSignup,employee_in_branch
bspSignup,branch_legal_address
bspSignup,select_personal_identity_type
bspSignup,select_branch_type
bspSignup,branch_type
bspSignup,business_type
bspSignup,address_suggest_text
bspSignup,branch_update_success
bspSignup,branch_established_years
bspSignup,address_error_text_1
bspSignup,address_error_text_2
bsplicensedsignupterms,selectcheck
bsplicensedsignupterms,customervisitcheck
bsplicensedsignupterms,customervisithelp
bsplicensedsignupterms,businesscheck
bsplicensedsignupterms,businesscheckhelp
bsplicensedsignupterms,businessprovidecheck
bsplicensedsignupterms,businessprovidehelp
bsplicensedsignupterms,CustomerWalkIn
bsplicensedsignupterms,CustomerInHome
bsplicensedsignupterms,BusinessOnDemand
unlicensedsignup,infromationislegitmate
unlicensedsignup,identificationtype1
unlicensedsignup,documentnumber1
unlicensedsignup,issuingauthority1
unlicensedsignup,identificationtype2
unlicensedsignup,documentnumber2
unlicensedsignup,issuingauthority2
unlicensedsignup,informationislegitmate
unlicensedsignup,business_title
unlicensedsignup,identity_document_number
unlicensedsignup,identification_expiry_date
unlicensedsignup,unlicensed_update_succ_text
licensedsignup,licenseissuingauthoritytype
licensedsignup,businesslicenseno
licensedsignup,legalbusinesscheck
licensedsignup,labeluploadlicenpicture
licensedsignup,licenseissuingauthority
licensedsignup,branch_title
licensedsignup,bsp_title
licensedsignup,document_required_text
licensedsignup,document_required_desc
licensedsignup,choose_an_image
licensedsignup,gallery
licensedsignup,camera
licensedsignup,licensed_update_succ_text
licensedsignup,branchlicenseno
licensedsignup,license_expiry_date
businessprofile,agreeandaccept
businessprofile,uploadprofilepicture
businessprofile,accepttudo
businessprofile,labeluploadlicenpicture
businessprofile,branch_title
businessprofile,business_title
businessprofile,branch_is
businessprofile,business_is
businessprofile,write_branch_profile
businessprofile,write_business_profile
businessprofile,other
businessprofile,explain_if_other_text
businessprofile,please_enter_branch_details
businessprofile,please_enter_business_details
businessprofile,note
businessprofile,insured_text
businessprofile,surety_text
businessprofile,branch_update_succ_text
businessprofile,upload_upto_5_text
select_service_page,title
select_service_page,no_service_type
select_service_page,please_select_one_service_desc
select_service_page,labeluploadlicenpicture
select_service_page,licenseissuingauthority
select_service_page,branch_title
select_service_page,bsp_title
select_service_page,in_home_text
language,
reset,newpass
reset,confirmpass
holidays,module
holidays,createHoliday
holidays,updateHoliday
holidays,title
holidays,discrption
holidays,dishint
holidays,duration
holidays,todate
holidays,fromdate
holidays,totime
holidays,fromtime
holidays,ishalf
holidays,save
holidays,update
holidays,delete
holidays,close
holidays,confDelete
holidays,updateMessage
holidays,createMessage
holidays,deleteHoliday
holidays,hitToDate
holidays,hitfromdate
holidays,hitToTime
holidays,hitFromTime
holidays,errTitle
holidays,errDis
holidays,errToDate
holidays,errToDate1
holidays,errFromDate
holidays,errToTime
holidays,errFromTime
holidays,errToTime2
holidays,allholi
holidays,noholi
holidays,noholiist
addwalkin,servicedate
addwalkin,flexibleme
addwalkin,selectaddress
addwalkin,uploadpicture
button,clear
button,next
button,search
shift_schedule,module
shift_schedule,begintime
shift_schedule,endtime
shift_schedule,title
shift_schedule,save
shift_schedule,namedis
shift_schedule,update
shift_schedule,offday
shift_schedule,delete
shift_schedule,default
shift_schedule,nameORdis
shift_schedule,close
shift_schedule,err1
shift_schedule,err2
shift_schedule,err3
shift_schedule,err4
shift_schedule,err5
shift_schedule,err6
shift_schedule,err7
shift_schedule,err8
shift_schedule,err9
shift_schedule,enter_shift_go_ahead
shift_schedule,shift_time
shift_schedule,shift_breaks
shift_schedule,shift_txt
shift_schedule,business_hours_for
bsp_scheduled,module
,filter_title
payments,
status,pending
status,waiting
status,ignored
status,rejected
status,confirmed
status,started_heading
status,started_working
status,completed
status,invoiced
status,paid
status,closed
status,finalized
status,cancelled
status,scheduled
status,onway
status,onboard
status,invoice
status,close
status,accept_reject
status,bids
status,disputes
status,overdues
status,payments
status,jobs
status,dues
invoice,title
invoice,total_amt
invoice,send_invoice
invoice,add_tax
invoice,add_tax_succ
invoice,add_chrg
invoice,add_chrg_succ
invoice,add_discount
invoice,add_discount_succ
invoice,add_comment
invoice,add_comment_succ
invoice,send_conf
invoice,send_tax_conf
invoice,send_succ
invoice,red_dis
invoice,red_resone_title
invoice,red_resone_label
invoice,red_resone_error
invoice,pay
invoice,submit
invoice,cancel
invoice,tax_title
