id,name,short_code,capital,fips_code,country_id,inserted_at,updated_at
1,Alaska,AK,Juneau,02,2,2019-01-11 04:42:45.513317,2019-01-11 04:42:45.513324
2,Alabama,AL,Montgomery,01,2,2019-01-11 04:42:45.518705,2019-01-11 04:42:45.518711
3,Arkansas,AR,Little Rock,05,2,2019-01-11 04:42:45.522449,2019-01-11 04:42:45.522454
4,Arizona,AZ,Phoenix,04,2,2019-01-11 04:42:45.526303,2019-01-11 04:42:45.526309
5,California,CA,Sacramento,06,2,2019-01-11 04:42:45.529851,2019-01-11 04:42:45.529856
6,Colorado,CO,Denver,08,2,2019-01-11 04:42:45.533114,2019-01-11 04:42:45.533120
7,Connecticut,CT,Hartford,09,2,2019-01-11 04:42:45.536089,2019-01-11 04:42:45.536095
8,Dist. of Columbia,DC,Washington,11,2,2019-01-11 04:42:45.538383,2019-01-11 04:42:45.538388
9,Delaware,DE,Dover,10,2,2019-01-11 04:42:45.540994,2019-01-11 04:42:45.541000
10,Florida,FL,Tallahassee,12,2,2019-01-11 04:42:45.543031,2019-01-11 04:42:45.543037
11,Georgia,GA,Atlanta,13,2,2019-01-11 04:42:45.546347,2019-01-11 04:42:45.546353
12,Guam,GU,Agaña,14,2,2019-01-11 04:42:45.548565,2019-01-11 04:42:45.548571
13,Hawaii,HI,Honolulu,15,2,2019-01-11 04:42:45.550554,2019-01-11 04:42:45.550560
14,Iowa,IA,Des Moines,19,2,2019-01-11 04:42:45.552688,2019-01-11 04:42:45.552694
15,Idaho,ID,Boise,16,2,2019-01-11 04:42:45.554409,2019-01-11 04:42:45.554415
16,Illinois,IL,Springfield,17,2,2019-01-11 04:42:45.556123,2019-01-11 04:42:45.556129
17,Indiana,IN,Indianapolis,18,2,2019-01-11 04:42:45.557944,2019-01-11 04:42:45.557950
18,Kansas,KS,Topeka,20,2,2019-01-11 04:42:45.559704,2019-01-11 04:42:45.559710
19,Kentucky,KY,Frankfort,21,2,2019-01-11 04:42:45.561504,2019-01-11 04:42:45.561510
20,Louisiana,LA,Baton Rouge,22,2,2019-01-11 04:42:45.563407,2019-01-11 04:42:45.563412
21,Massachusetts,MA,Boston,25,2,2019-01-11 04:42:45.565275,2019-01-11 04:42:45.565281
22,Maryland,MD,Annapolis,24,2,2019-01-11 04:42:45.567557,2019-01-11 04:42:45.567563
23,Maine,ME,Augusta,23,2,2019-01-11 04:42:45.569363,2019-01-11 04:42:45.569368
24,Michigan,MI,Lansing,26,2,2019-01-11 04:42:45.571083,2019-01-11 04:42:45.571088
25,Minnesota,MN,St Paul,27,2,2019-01-11 04:42:45.573007,2019-01-11 04:42:45.573012
26,Missouri,MO,Jefferson City,29,2,2019-01-11 04:42:45.574564,2019-01-11 04:42:45.574570
27,Mississippi,MS,Jackson,28,2,2019-01-11 04:42:45.576258,2019-01-11 04:42:45.576265
28,Montana,MT,Helena,30,2,2019-01-11 04:42:45.578051,2019-01-11 04:42:45.578056
29,North Carolina,NC,Raleigh Durham,37,2,2019-01-11 04:42:45.579837,2019-01-11 04:42:45.579843
30,North Dakota,ND,Bismarck,38,2,2019-01-11 04:42:45.581472,2019-01-11 04:42:45.581478
31,Nebraska,NE,Lincoln,31,2,2019-01-11 04:42:45.583257,2019-01-11 04:42:45.583262
32,New Hampshire,NH,Concord,33,2,2019-01-11 04:42:45.585092,2019-01-11 04:42:45.585098
33,New Jersey,NJ,Trenton,34,2,2019-01-11 04:42:45.586685,2019-01-11 04:42:45.586691
34,New Mexico,NM,Santa Fe,35,2,2019-01-11 04:42:45.588141,2019-01-11 04:42:45.588147
35,Nevada,NV,Carson City,32,2,2019-01-11 04:42:45.589889,2019-01-11 04:42:45.589894
36,New York,NY,Albany,36,2,2019-01-11 04:42:45.591895,2019-01-11 04:42:45.591901
37,Ohio,OH,Columbus,39,2,2019-01-11 04:42:45.593822,2019-01-11 04:42:45.593828
38,Oklahoma,OK,Oklahoma City,40,2,2019-01-11 04:42:45.595668,2019-01-11 04:42:45.595674
39,Oregon,OR,Salem,41,2,2019-01-11 04:42:45.597477,2019-01-11 04:42:45.597482
40,Pennsylvania,PA,Harrisburg,42,2,2019-01-11 04:42:45.599444,2019-01-11 04:42:45.599450
41,Puerto Rico,PR,San Juan,72,2,2019-01-11 04:42:45.601336,2019-01-11 04:42:45.601341
42,Rhode Island,RI,Providence,44,2,2019-01-11 04:42:45.603125,2019-01-11 04:42:45.603130
43,South Carolina,SC,Columbia,45,2,2019-01-11 04:42:45.605012,2019-01-11 04:42:45.605023
44,South Dakota,SD,Pierre,46,2,2019-01-11 04:42:45.606623,2019-01-11 04:42:45.606628
45,Tennessee,TN,Nashville,47,2,2019-01-11 04:42:45.608410,2019-01-11 04:42:45.608416
46,Texas,TX,Austin,48,2,2019-01-11 04:42:45.610278,2019-01-11 04:42:45.610284
47,Utah,UT,Salt Lake City,49,2,2019-01-11 04:42:45.612449,2019-01-11 04:42:45.612455
48,Virginia,VA,Richmond,51,2,2019-01-11 04:42:45.614650,2019-01-11 04:42:45.614656
49,Virgin Islands,VI,Charlotte Amalie,52,2,2019-01-11 04:42:45.616269,2019-01-11 04:42:45.616274
50,Vermont,VT,Montpelier,50,2,2019-01-11 04:42:45.618092,2019-01-11 04:42:45.618097
51,Washington,WA,Olympia,53,2,2019-01-11 04:42:45.619810,2019-01-11 04:42:45.619815
52,Wisconsin,WI,Madison,55,2,2019-01-11 04:42:45.621509,2019-01-11 04:42:45.621514
53,West Virginia,WV,Charleston,54,2,2019-01-11 04:42:45.623248,2019-01-11 04:42:45.623254
54,Wyoming,WY,Cheyenne,56,2,2019-01-11 04:42:45.624812,2019-01-11 04:42:45.624817
55,Andhra Pradesh,AP,Amaravathi,,3,2019-01-11 04:42:45.626712,2019-01-11 04:42:45.626717
56,Arunachala Pradesh,AU,Itanagar,,3,2019-01-11 04:42:45.628568,2019-01-11 04:42:45.628574
57,Telangana,TS,Hyderabad,,3,2019-01-11 04:42:45.630099,2019-01-11 04:42:45.630105
58,Punjab,PU,Lahore,,4,2019-01-11 04:42:45.630099,2019-01-11 04:42:45.630105
