"id","name","service_group_id","service_type_id","service_status_id","inserted_at","updated_at"
1,Pet food and supplies,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
2,Animal hospital,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
3,Animal rescue,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
4,Pet care and grooming,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
5,Veterinary services,1,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
6,Catering services,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
7,"Sweet, treats & hots",2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
8,North Indian,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
9,South Indian,2,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
10,Air condition and heater repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
11,Audio and video repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
12,Auto finance agent,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
13,Auto insurance agent,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
14,Body repair and paint,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
15,Break and light inspection,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
16,Ding and dent repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
17,Electric vehicle service,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
18,Tune-up and general repairs,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
19,Hybrid vehicle service,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
20,Wash and detailing,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
21,New vehicle and equipment sale,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
22,Oil and maintenance service,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
23,Parts and accessories,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
24,Smog/ Emission check and certification,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
25,Tire and wheel alignment,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
26,Roadside assistance,3,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
27,Custom modification,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
28,Roadside assistance,3,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
29,Window tinting,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
30,Glass  and door repair,3,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
31,Personnel fitness trainer,4,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
32,Yoga lessons,4,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
33,Aerobics training lessons,4,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
34,Group training class,4,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
36,Personal Finance / Loan service,5,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
37,Software service,5,walk_in,in_active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
