id,fixed
1,"{""vegetarian"": ""vegetarian"", ""vegetarian(No Onion and Garlic)"": ""vegetarian(No Onion and Garlic)"", ""vegan"": ""Vegan"", ""nonDairy"": ""non_dairy"", ""noPeanutOrNuts"": ""no_peanut_or_nuts"", ""other"": ""other""}"
2,"{""justOnce"": ""just_once"", ""daily"": ""daily"", ""weekly"": ""weekly"", ""biWeekly"": ""bi_weekly"", ""monthly"": ""monthly"", ""others"": ""others""}"
3,"{""low"": ""low"", ""medium"": ""medium"", ""high"": ""high"", ""extraHigh"": ""extra_high""}"
4,"{""00:00AM"": ""00:00AM"", ""01:00AM"": ""01:00AM"", ""02:00AM"": ""02:00AM"", ""03:00AM"": ""03:00AM"", ""04:00AM"": ""04:00AM"", ""05:00AM"": ""05:00AM"", ""06:00AM"": ""06:00AM"", ""07:00AM"": ""07:00AM"", ""08:00AM"": ""08:00AM"", ""09:00AM"": ""09:00AM"", ""10:00AM"": ""10:00AM"", ""11:00AM"": ""11:00AM"", ""12:00PM"": ""12:00PM"", ""01:00PM"": ""01:00PM"", ""02:00PM"": ""02:00PM"", ""03:00PM"": ""03:00PM"", ""04:00PM"": ""04:00PM"", ""05:00PM"": ""05:00PM"", ""06:00PM"": ""06:00PM"", ""07:00PM"": ""07:00PM"", ""08:00PM"": ""08:00PM"", ""09:00PM"": ""09:00PM"", ""10:00PM"": ""10:00PM"", ""11:00PM"": ""11:00PM"", ""12:00PM"": ""12:00PM""}"
5,"{""min"": ""1990"", ""max"": ""2030""}"
6,"{""table"": ""auto_make""}"
7,"{""table"": ""auto_models""}"
8,"{""gasoline"": ""gasoline"", ""petrol"": ""petrol"", ""diesel"": ""diesel"", ""CNG"": ""CNG"", ""LPG"": ""LPG"", ""hydrogenFuelcell"": ""hydrogen_fuelcell"", ""electricHybrid"": ""electric_hybrid"", ""electric"": ""electric"", ""other"": ""other""}"
9,"{""beige"": ""beige"", ""black"": ""black"", ""blue"": ""blue"", ""brown"": ""brown"", ""gold"": ""gold"", ""green"": ""green"", ""gray"": ""gray"", ""orange"": ""orange"", ""pink"": ""pink"", ""purple"": ""purple"", ""red"": ""red"", ""silver"": ""silver"", ""voilet"": ""voilet"", ""white"": ""white"", ""yellow"": ""yellow"", ""other"": ""other""}"
10,"{""solid"": ""solid"", ""metallic"": ""metallic"", ""pearlesent"": ""pearlesent"", ""matFinish"": ""mat_finish"", ""other"": ""other""}"
11,"{""private"": ""private"", ""privateGroup"": ""private_group"", ""specialClass"": ""special_class"", ""other"": ""other""}"
12,"{""residential"": ""residential"", ""commercial"": ""commercial"", ""industrial"": ""industrial"", ""other"": ""other""}"
13,"{""fragile"": ""fragile"", ""dangerous"": ""dangerous"", ""hazardous"": ""hazardous"", ""toxic"": ""toxic"", ""bioHazardous"": ""bio_hazardous"", ""waste"": ""waste"", ""other"": ""other""}"
14,"{""micro"": ""micro"", ""light"": ""light"", ""medium"": ""medium"", ""heavy"": ""heavy"", ""extraHeavy"": ""extra_heavy"", ""> 1 ton"": ""> 1 ton""}"
15,"{""pickup"": ""pickup"",""box"": ""box"", ""light"": ""light"", ""medium"": ""medium"", ""heavy"": ""heavy"", ""trailer"": ""trailer"", ""other"": ""other""}"
16,"{""customerResponsible"": ""customer_responsible"",""businessResponsible"": ""business_responsible""}"
17,"{""1-5"": ""1-5"",""6-10"": ""6-10"", ""11-20"": ""11-20"", ""21-50"": ""21-50"", ""51-100"": ""51-100"", ""101-200"": ""101-200"", ""201-500"": ""201-500""}"
18,"{""hours"": ""hours"",""days"": ""days"",""weeks"": ""weeks"", ""months"": ""months""}"
19,"{""min"": ""0.5"", ""max"": ""12""}"
20,"{""carpet"": ""carpet"",""ceramic"": ""ceramic"", ""marble"": ""marble"", ""granite"": ""granite"", ""laminate"": ""laminate"", ""hardWood"": ""hard_wood"", ""cork"": ""cork"", ""bamboo"": ""bamboo"", ""concrete"": ""concrete"", ""other"": ""other""}"
21,"{""201-1000"": ""201-1000"",""1001-1500"": ""1001-1500"", ""1501-2000"": ""1501-2000"", ""2001-2500"": ""2001-2500"", ""2501-3000"": ""2501-3000"", ""3001-4000"": ""3001-4000"", ""4001-5000"": ""4001-5000"", ""5001-10000"": ""5001-10000"", ""> 10k"": ""> 10k""}"
22,"{""min"": ""1"", ""max"": ""5""}"
23,"{""brick"": ""brick"",""concrete"": ""concrete"", ""stone"": ""stone"", ""travertine"": ""travertine"", ""plastic"": ""plastic"", ""rubber"": ""rubber"", ""wooden"": ""wooden"", ""other"": ""other""}"
24,"{""min"": ""1"", ""max"": ""20""}"
25,"{""moving"": ""moving"", ""packing"": ""packing"", ""concreteWork"": ""concrete_work"", ""electrical"": ""electrical"", ""plumbing"": ""plumbing"", ""repair"": ""repair"", ""garden"": ""garden"", ""flooring"": ""flooring"", ""construction"": ""construction"", ""install/assembly"": ""install/assembly"", ""garage"": ""garage"", ""carpentry"": ""carpentry"", ""meta"": ""meta"", ""painting"": ""painting"", ""paving"": ""paving"", ""other"": ""other""}"
26,"{""exteriorWash"": ""exterior_wash"",""fullServiceWash"": ""full_service_wash"", ""expressDetail"": ""express_detail"", ""fullDetail"": ""full_detail"", ""paintCorrection"": ""paint_correction""}"
