"id","title","description","alt","help_text","required_messages","is_active","multi_selection","required","disabled","addable","editable","viewable","filterable","dynamic_field_order","fixed","end_point_for_data","query_for_data","dynamic_field_tag_id","dynamic_field_type_id","dynamic_group_id","business_id","inserted_at","updated_at"
1,Head Count Input,Enter number,"",Enter number of Head count for the service request,{},true,false,true,false,true,true,true,false,1.0,"{}","","",input_text,integer,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
10,Make,Make dpdn,make,"",{},true,false,false,false,true,true,true,true,1.0,"{""data"": [""Audi"", ""BMW"", ""Cadillac"", ""Dodge"", ""Toyota"", ""Honda"", ""Mazda"", ""Nissan"", ""Ford"", ""General Motors"", ""Chrysler"", ""Mercedes Benz"", ""Volkswagen"", ""Range Rover"", ""Jaguar"", ""Ferrari""], ""order"": ""ASC"", ""default"": """"}","","",dropdown,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
11,Model,Model dpdn,"","",{},true,false,false,false,true,true,true,true,2.0,"{""data"": [""Camry"", ""Camry LE"", ""Camry SE"", ""Camry XLE"", ""Camry XSE"", ""Avalon""], ""order"": ""ASC"", ""default"": """"}","","",dropdown,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
12,Fuel type,Fuel type,"","",{},true,false,false,false,true,true,true,false,4.0,"{""data"": [""Gasoline"", ""Petrol"", ""Diesel"", ""CNG"", ""LPG"", ""Electric"", ""Electric_hybrid"", ""Hydrogen fuel cell"", ""Other""], ""order"": """", ""default"": ""Gasoline""}","","",dropdown,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
16,Finish type,Finish type,"","",{},true,false,false,false,true,true,true,false,3.2,"{""data"": [""Solid"", ""Metallic"", ""Mat_finish"", ""Pearlescent"", ""Other""], ""order"": ""ASC"", ""default"": ""Metallic""}","","",dropdown,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
21,Lesson type,Lesson type,"","",{},true,false,false,false,true,true,true,false,1.0,"{""data"": [""Other"", ""Private"", ""Private Group"", ""Special Class""], ""order"": ""ASC"", ""default"": """"}","","",dropdown,text,3,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
22,Frequency,Frequency,"","",{},true,false,false,false,true,true,true,false,2.0,"{""data"": [""Just Once"", ""Daily"", ""Weekly"", ""Bi-Weekly"", ""Monthly"", ""Yearly"", ""Others""], ""order"": """", ""default"": ""Just Once""}","","",dropdown,text,3,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
23,Additional,Special note,"","",{},true,false,false,false,true,true,true,false,5.0,"{}","","",text_area,string,3,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
24,Weight,Your Weight,"","",{},true,false,false,false,true,true,true,false,3.0,"{}","","",input_text,integer,3,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
25,Height,Your Height,"","",{},true,false,false,false,true,true,true,false,4.0,"{}","","",input_text,float,3,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
26,Weight,Your Weight,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,integer,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
27,Address,Address,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",address,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
28,ServiceType,Service type,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Commercial"", ""Industrial"", ""Residential"", ""Other""], ""order"": ""DSC"", ""default"": ""Residential""}","","",dropdown,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
29,GoodsType,Goods type CB,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Other"", ""Toxic"", ""Waste"", ""Fragile"", ""Dangerous"", ""Hazardous"", ""Bio Hazardous""], ""order"": ""ASC"", ""default"": ""Fragile""}","","",dropdown,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
30,WeightCat,Weight category,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Micro"", ""Light"", ""Medium"", ""Heavy"", ""Extra Heavy ~1 ton"", ""Other""], ""order"": """", ""default"": ""Light""}","","",dropdown,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
31,Volume,Volume,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,float,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
32,TruckType,Truck type,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Box"", ""Heavy"", ""Light"", ""Medium"", ""Pickup"", ""Trailer"", ""Other""], ""order"": """", ""default"": """"}","","",dropdown,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
33,Responsible Party,Who is Responsible? Business or Consumer,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Business"", ""Consumer"", ""Don't know""], ""order"": ""ASC"", ""checked"": ""Business""}","","",radio_button,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
34,Count Drop,Count dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": {""max"": 10, ""min"": 1}, ""order"": ""ASC"", ""default"": ""1"", ""interval"": 2}","","",dropdown,text,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
4,Spice level,Spice level,"",Select Spice level for your request,{},true,false,true,false,true,false,true,false,3.0,"{""data"": [""Mild"", ""Low"", ""Medium"", ""High"", ""Extra High"", ""Max Spice""], ""order"": """", ""default"": ""Medium""}","","",dropdown,text,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
5,Pick time,Tent. Pickup time,"",Select tentative Pickup Date and Time,{},true,false,false,false,true,true,true,false,5.0,"{}","","",datetime_picker,text,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
6,Del time,Tent. Delivery time,"",Choose expected Delivery Date and Time,{},true,false,false,false,true,true,false,false,4.1,"{}","","",datetime_picker,text,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
7,Additional,Special note,"",Share special instructions to your service provider,{},true,false,false,false,true,true,true,false,6.0,"{}","","",text_area,string,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
3,Frequency,Frequency,"",How frequency you request may be,{},true,false,false,false,true,true,true,false,4.0,"{""data"": [""Just Once"", ""Daily"", ""Weekly"", ""Bi-Weekly"", ""Monthly"", ""Yearly"", ""Others""], ""order"": """", ""default"": ""Just Once""}","","",dropdown,text,1,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
35,Count Input,Enter number,"","",{},true,false,false,false,true,true,true,false,1.0,"{}","","",input_text,integer,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
36,Additional,Special note,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",text_area,string,4,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
37,Additional,Special note,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",text_area,string,5,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
8,Additional Info,Special note,"","",{},true,false,false,false,true,true,true,false,9.0,"{}","","",text_area,string,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
15,Auto Color,AutoColor,"","",{},true,false,false,false,true,true,true,false,3.1,"{""data"": [""Red"", ""Blue"", ""Gold"", ""Gray"", ""Pink"", ""Beige"", ""Black"", ""Brown"", ""Green"", ""Other"", ""White"", ""Orange"", ""Purple"", ""Silver"", ""Voilet"", ""Yellow""], ""order"": """", ""default"": """"}","","",dropdown,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
9,Model Year,Model year,"","",{},true,false,false,false,true,true,true,false,3.0,"{""data"": {""max"": ""YYYY"", ""min"": 1950}, ""order"": ""DSC"", ""offset"": 18, ""default"": ""YYYY""}","","",year_picker,integer,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
14,Tire Size,Tire size,"","",{},true,false,false,false,true,true,true,false,5.1,"{}","","",input_text,text,2,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
38,Count Input,Enter number,"","",{},true,false,false,false,true,true,true,false,1.0,"{}","","",input_text,integer,5,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
39,Address,Address,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",address,text,5,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
40,RentType,Rent type,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Hourly"", ""Daily"", ""Weekly"", ""Bi-Weekly"", ""Monthly"", ""Yearly"", ""Others""], ""order"": """", ""default"": ""Hourly""}","","",dropdown,text,5,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
41,Duration,Duration,"","",{},true,false,false,false,true,true,true,false,6.0,"{""max"": 24, ""min"": 0, ""unit"": ""Hrs"", ""order"": ""ASC"", ""default"": 1, ""interval"": 1}","","",range,integer,5,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
42,Lesson type,Lesson type,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Other"", ""Private"", ""Private Group"", ""Special Class""], ""order"": ""ASC"", ""default"": """"}","","",dropdown,text,6,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
43,Weight,Your Weight,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,integer,6,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
44,Height,Your Height,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,float,6,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
45,Additional,Special note,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",text_area,string,6,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
46,Floor type,Flooring type dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Cork"", ""Other"", ""Bamboo"", ""Carpet"", ""Marble"", ""Ceramic"", ""Granite"", ""Concrete"", ""Hard Wood"", ""Laminate""], ""order"": ""ASC"", ""default"": ""Carpet""}","","",dropdown,text,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
47,Area,Area dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""201-1000"", ""1001-1500"", ""1501-2000"", ""2001-2500"", ""2501-3000"", ""3001-4000"", ""4001-5000"", ""5001-10000"", ""> 10k""], ""unit"": ""S.Ft"", ""order"": """", ""default"": ""1001-1500""}","","",dropdown,text,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
48,Responsible Party,Who is Responsible? Business or Consumer,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Business"", ""Consumer"", ""Don't know""], ""order"": ""ASC"", ""checked"": ""Business""}","","",radio_button,text,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
49,Count Drop,Count dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": {""max"": 10, ""min"": 1}, ""order"": ""ASC"", ""default"": ""1"", ""interval"": 2}","","",dropdown,integer,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
50,Scale,Scale,"","",{},true,false,false,false,true,true,true,false,6.0,"{""max"": 10, ""min"": 0, ""order"": ""ASC"", ""default"": 5, ""interval"": 1}","","",range,integer,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
51,Additional,Special note,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",text_area,string,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
52,Paver type,Paver type dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Cork"", ""Other"", ""Bamboo"", ""Carpet"", ""Marble"", ""Ceramic"", ""Granite"", ""Concrete"", ""Hard Wood"", ""Laminate""], ""order"": ""ASC"", ""default"": ""Carpet""}","","",dropdown,text,7,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
53,Responsible Party,Who is Responsible? Business or Consumer,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Business"", ""Consumer"", ""Don't know""], ""order"": ""ASC"", ""checked"": ""Business""}","","",radio_button,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
54,Duration,Duration,"","",{},true,false,false,false,true,true,true,false,6.0,"{""max"": 24, ""min"": 0, ""unit"": ""Hrs"", ""order"": ""ASC"", ""default"": 1, ""interval"": 1}","","",range,integer,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
55,Handyman,Handyman,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",check_box,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
56,Make,Make dpdn,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",dropdown,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
57,Mileage,Entry mileage,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,integer,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
58,Tire size,Tire size,"","",{},true,false,false,false,true,true,true,false,6.0,"{}","","",input_text,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
59,AutoColor,AutoColor,"","",{},true,false,false,false,true,true,true,false,6.0,"{""data"": [""Red"", ""Blue"", ""Gold"", ""Gray"", ""Pink"", ""Beige"", ""Black"", ""Brown"", ""Green"", ""Other"", ""White"", ""Orange"", ""Purple"", ""Silver"", ""Voilet"", ""Yellow""], ""order"": """", ""default"": """"}","","",dropdown,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
60,Model,Model dpdn,"","",{},true,false,false,false,true,true,true,true,6.0,"{}","","",dropdown,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
61,Make,Make dpdn,"","",{},true,false,false,false,true,true,true,true,6.0,"{}","","",dropdown,text,8,,2019-01-11 04:44:04.000,2019-01-11 04:44:04.000
