slug,language,field_id,translation,screen_id,inserted_at,updated_at
email,EN,1,Email,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
password,EN,2,Password,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
show_password,EN,3,Show Password,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
hide_password,EN,4,Hide Password,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
login,EN,5,Log In,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
sign_up,EN,6,Sign Up,login,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
email,EN,1,Email,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
code,EN,2,Code,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
mobile,EN,3,Mobile,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
first_name,EN,4,First Name,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
last_name,EN,5,Last Name,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
password,EN,6,Password,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
terms_and_condition,EN,7,Terms And Condition,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
clear,EN,8,Clear,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
sig_up,EN,9,Sign Up,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
back_to_login,EN,10,Back kTo Login,sign_up,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
email,EN,1,Email,forgot,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
forgot,EN,2,Forgot,forgot,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
deals,EN,1,Deals,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
eventer,EN,2,Eventer,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
hanging,EN,3,Hanging,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
my_net,EN,4,My Net,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
n_ter,EN,5,N Ter,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
payments,EN,6,Payments,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
reports,EN,7,Reports,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
scheduled,EN,8,Scheduled,cmr_dashboard,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_in_home,EN,1,Add In-home,floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_event,EN,2,Add Event,floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_task,EN,3,Add Task,floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_on_demand,EN,4,Add On Demand,floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_walk_in,EN,5,Add Walk_In,floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
add_branch,EN,1,Add Branch,bsp_floating_button,2019-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
