description,id
ibm,ibm
tata consultancy services,tata_consultancy_services
accenture,accenture
us army,us_army
ey,ey
hewlett-packard,hewlett-packard
cognizant technology solutions,cognizant_technology_solutions
walmart,walmart
microsoft,microsoft
at&t,at&t
united states air force,united_states_air_force
pwc,pwc
wells fargo,wells_fargo
infosys,infosys
deloitte,deloitte
citi,citi
bank of america,bank_of_america
jpmorgan chase & co.,jpmorgan_chase_&_co.
us navy,us_navy
amazon,amazon
apple,apple
siemens,siemens
oracle,oracle
nokia,nokia
education nationale,education_nationale
capgemini,capgemini
wipro technologies,wipro_technologies
hsbc,hsbc
google,google
united states postal service,united_states_postal_service
mcdonald's corporation,mcdonald's_corporation
ericsson,ericsson
nhs,nhs
boeing,boeing
vodafone,vodafone
kaiser permanente,kaiser_permanente
ford motor company,ford_motor_company
intel corporation,intel_corporation
department of veterans affairs,department_of_veterans_affairs
cisco,cisco
general motors,general_motors
pepsico,pepsico
target,target
shell,shell
hcl technologies,hcl_technologies
ups,ups
pfizer,pfizer
unilever,unilever
nestlé,nestlé
unitedhealth group,unitedhealth_group
huawei technologies,huawei_technologies
dell,dell
gsk,gsk
honeywell,honeywell
sap,sap
schlumberger,schlumberger
lockheed martin,lockheed_martin
"ayatama energi, trisco nusantara","ayatama_energi,_trisco_nusantara"
abb,abb
american center of krasnodar,american_center_of_krasnodar
starbucks,starbucks
promobroker agente de seguros y de fianzas s a de c v,promobroker_agente_de_seguros_y_de_fianzas_s_a_de_c_v
morgan stanley,morgan_stanley
the home depot,the_home_depot
independiente,independiente
novartis,novartis
johnson & johnson,johnson_&_johnson
bp,bp
schneider electric,schneider_electric
state farm,state_farm
secretaría de educación pública,secretaría_de_educación_pública
dhl,dhl
my home,my_home
td,td
ge,ge
philips,philips
ubs,ubs
procter & gamble,procter_&_gamble
walgreens,walgreens
"keller williams realty, inc.","keller_williams_realty,_inc."
"lowe's companies, inc.","lowe's_companies,_inc."
verbum traducción y edición,verbum_traducción_y_edición
united states marine corps,united_states_marine_corps
dell emc,dell_emc
tech mahindra,tech_mahindra
verizon wireless,verizon_wireless
sanofi,sanofi
bnp paribas,bnp_paribas
sodexo,sodexo
deutsche bank,deutsche_bank
tencent,tencent
j.p. morgan,j.p._morgan
verizon,verizon
l'oréal,l'oréal
kpmg,kpmg
orange,orange
linkedin,linkedin
barclays,barclays
facebook,facebook
northrop grumman corporation,northrop_grumman_corporation
fca fiat chrysler automobiles,fca_fiat_chrysler_automobiles
adp,adp
medtronic,medtronic
abbott,abbott
chevron,chevron
roche,roche
american express,american_express
samsung electronics,samsung_electronics
macy's,macy's
thomson reuters,thomson_reuters
ministerio de educación,ministerio_de_educación
avon,avon
cgi,cgi
cvs health,cvs_health
halliburton,halliburton
atos,atos
pcs informatica,pcs_informatica
ge healthcare,ge_healthcare
csc,csc
merck,merck
banco santander,banco_santander
scotiabank,scotiabank
dxc technology,dxc_technology
johnson controls,johnson_controls
posteamos.com,posteamos.com
allstate,allstate
petrobras,petrobras
credit suisse,credit_suisse
telefónica,telefónica
marriott international,marriott_international
axa,axa
3m health care,3m_health_care
standard chartered bank,standard_chartered_bank
xerox,xerox
cbre,cbre
nyc department of education,nyc_department_of_education
goldman sachs,goldman_sachs
fidelity investments,fidelity_investments
